NAM, NUM, FIX, SYS, SAT, CLK, TIM, LAT, LON, HAC, MSL, GEO, VAC, SOG, COG, ROL, PIT, YAW, RAC, PAC, YAC, OBS, MAC
"neon", 23, 3, 0, 11, 1600355127.135340675, 1600355126.000000000, 39.7943136, -105.1533770, 0., 1724.400, 1702.900, 0., 0.017000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01844, 180.00000, 0, 0.
"neon", 24, 3, 0, 11, 1600355128.135260146, 1600355127.000000000, 39.7943133, -105.1533765, 0., 1724.300, 1702.800, 0., 0.018000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01844, 180.00000, 0, 0.
"neon", 25, 3, 0, 11, 1600355129.137256928, 1600355128.000000000, 39.7943126, -105.1533756, 0., 1724.300, 1702.800, 0., 0.044000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01844, 180.00000, 0, 0.
"neon", 26, 3, 0, 11, 1600355130.137150914, 1600355129.000000000, 39.7943121, -105.1533740, 0., 1724.100, 1702.600, 0., 0.011000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01844, 180.00000, 0, 0.
"neon", 27, 3, 0, 11, 1600355131.130849801, 1600355130.000000000, 39.7943118, -105.1533726, 0., 1724.100, 1702.600, 0., 0.032000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01912, 180.00000, 0, 0.
"neon", 28, 3, 0, 11, 1600355132.134955574, 1600355131.000000000, 39.7943116, -105.1533713, 0., 1724.000, 1702.500, 0., 0.015000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.01981, 180.00000, 0, 0.
"neon", 29, 3, 0, 11, 1600355133.132940572, 1600355132.000000000, 39.7943116, -105.1533701, 0., 1724.000, 1702.500, 0., 0.048000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02046, 180.00000, 0, 0.
"neon", 30, 3, 0, 11, 1600355134.130572720, 1600355133.000000000, 39.7943116, -105.1533691, 0., 1723.900, 1702.400, 0., 0.013000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02116, 180.00000, 0, 0.
"neon", 31, 3, 0, 11, 1600355135.136672858, 1600355134.000000000, 39.7943115, -105.1533680, 0., 1723.800, 1702.300, 0., 0.019000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02175, 180.00000, 0, 0.
"neon", 32, 3, 0, 11, 1600355136.136678576, 1600355135.000000000, 39.7943110, -105.1533671, 0., 1723.600, 1702.100, 0., 0.019000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02230, 180.00000, 0, 0.
