HOSTNAME, OBSERVATION, CLOCK, TIME, LATITUDE, LONGITUDE, HORIZONTAL, MSL, WGS84, VERTICAL, SPEED, COURSE
"neon", 1, 1592839679.308457136, 1592839679.000000000, 39.7943460, -105.1533113, 0.0, 0.000, 0.000, 0.0, 0.015000, 0.000000000
"neon", 2, 1592839679.311192683, 1592839679.000000000, 39.7943460, -105.1533113, 0.0, 1703.800, 1682.300, 0.0, 0.015000, 0.000000000
"neon", 3, 1592839679.317004354, 1592839679.000000000, 39.7943460, -105.1533113, 0.0, 1703.800, 1682.300, 0.0, 0.015000, 0.000000000
"neon", 4, 1592839680.374735892, 1592839680.000000000, 39.7943461, -105.1533113, 0.0, 1703.800, 1682.300, 0.0, 0.000000, 0.000000000
"neon", 5, 1592839680.376551010, 1592839680.000000000, 39.7943461, -105.1533113, 0.0, 1703.900, 1682.400, 0.0, 0.000000, 0.000000000
"neon", 6, 1592839680.380498243, 1592839680.000000000, 39.7943461, -105.1533113, 0.0, 1703.900, 1682.400, 0.0, 0.000000, 0.000000000
"neon", 7, 1592839681.317700624, 1592839681.000000000, 39.7943463, -105.1533108, 0.0, 1703.900, 1682.400, 0.0, 0.011000, 0.000000000
"neon", 8, 1592839681.320729691, 1592839681.000000000, 39.7943463, -105.1533108, 0.0, 1703.900, 1682.400, 0.0, 0.011000, 0.000000000
"neon", 9, 1592839682.331376238, 1592839682.000000000, 39.7943465, -105.1533106, 0.0, 1703.900, 1682.400, 0.0, 0.005000, 0.000000000
"neon", 10, 1592839682.334143722, 1592839682.000000000, 39.7943465, -105.1533106, 0.0, 1703.900, 1682.400, 0.0, 0.005000, 0.000000000
"neon", 11, 1592839683.312487982, 1592839683.000000000, 39.7943468, -105.1533103, 0.0, 1703.900, 1682.400, 0.0, 0.044000, 0.000000000
"neon", 12, 1592839683.314305959, 1592839683.000000000, 39.7943468, -105.1533103, 0.0, 1704.000, 1682.500, 0.0, 0.044000, 0.000000000
"neon", 13, 1592839683.317659709, 1592839683.000000000, 39.7943468, -105.1533103, 0.0, 1704.000, 1682.500, 0.0, 0.044000, 0.000000000
"neon", 14, 1592839684.319150934, 1592839684.000000000, 39.7943466, -105.1533098, 0.0, 1704.000, 1682.500, 0.0, 0.007000, 0.000000000
"neon", 15, 1592839684.321534518, 1592839684.000000000, 39.7943466, -105.1533098, 0.0, 1704.000, 1682.500, 0.0, 0.007000, 0.000000000
"neon", 16, 1592839685.321299228, 1592839685.000000000, 39.7943468, -105.1533096, 0.0, 1704.100, 1682.600, 0.0, 0.023000, 0.000000000
"neon", 17, 1592839685.324230246, 1592839685.000000000, 39.7943468, -105.1533096, 0.0, 1704.100, 1682.600, 0.0, 0.023000, 0.000000000
"neon", 18, 1592839686.312745589, 1592839686.000000000, 39.7943471, -105.1533095, 0.0, 1704.100, 1682.600, 0.0, 0.010000, 0.000000000
"neon", 19, 1592839686.316793913, 1592839686.000000000, 39.7943471, -105.1533095, 0.0, 1704.100, 1682.600, 0.0, 0.010000, 0.000000000
"neon", 20, 1592839687.315490524, 1592839687.000000000, 39.7943471, -105.1533095, 0.0, 1704.100, 1682.600, 0.0, 0.019000, 0.000000000
"neon", 21, 1592839687.315993018, 1592839687.000000000, 39.7943471, -105.1533095, 0.0, 1704.300, 1682.800, 0.0, 0.019000, 0.000000000
"neon", 22, 1592839687.317855986, 1592839687.000000000, 39.7943471, -105.1533095, 0.0, 1704.300, 1682.800, 0.0, 0.019000, 0.000000000
"neon", 23, 1592839688.320296829, 1592839688.000000000, 39.7943471, -105.1533096, 0.0, 1704.300, 1682.800, 0.0, 0.001000, 0.000000000
"neon", 24, 1592839688.321021170, 1592839688.000000000, 39.7943471, -105.1533096, 0.0, 1704.400, 1682.900, 0.0, 0.001000, 0.000000000
"neon", 25, 1592839688.322649746, 1592839688.000000000, 39.7943471, -105.1533096, 0.0, 1704.400, 1682.900, 0.0, 0.001000, 0.000000000
"neon", 26, 1592839689.327177816, 1592839689.000000000, 39.7943470, -105.1533091, 0.0, 1704.400, 1682.900, 0.0, 0.003000, 0.000000000
"neon", 27, 1592839689.327738386, 1592839689.000000000, 39.7943470, -105.1533091, 0.0, 1704.300, 1682.800, 0.0, 0.003000, 0.000000000
"neon", 28, 1592839689.331064390, 1592839689.000000000, 39.7943470, -105.1533091, 0.0, 1704.300, 1682.800, 0.0, 0.003000, 0.000000000
"neon", 29, 1592839690.306435689, 1592839690.000000000, 39.7943471, -105.1533088, 0.0, 1704.300, 1682.800, 0.0, 0.006000, 0.000000000
"neon", 30, 1592839690.308180891, 1592839690.000000000, 39.7943471, -105.1533088, 0.0, 1704.200, 1682.700, 0.0, 0.006000, 0.000000000
"neon", 31, 1592839690.311452613, 1592839690.000000000, 39.7943471, -105.1533088, 0.0, 1704.200, 1682.700, 0.0, 0.006000, 0.000000000
"neon", 32, 1592839691.316658362, 1592839691.000000000, 39.7943471, -105.1533083, 0.0, 1704.200, 1682.700, 0.0, 0.007000, 0.000000000
"neon", 33, 1592839691.319960661, 1592839691.000000000, 39.7943471, -105.1533083, 0.0, 1704.200, 1682.700, 0.0, 0.007000, 0.000000000
"neon", 34, 1592839691.321981301, 1592839691.000000000, 39.7943471, -105.1533083, 0.0, 1704.200, 1682.700, 0.0, 0.007000, 0.000000000
"neon", 35, 1592839692.322649876, 1592839692.000000000, 39.7943473, -105.1533080, 0.0, 1704.100, 1682.600, 0.0, 0.010000, 0.000000000
"neon", 36, 1592839692.327537001, 1592839692.000000000, 39.7943473, -105.1533080, 0.0, 1704.100, 1682.600, 0.0, 0.010000, 0.000000000
"neon", 37, 1592839693.321227888, 1592839693.000000000, 39.7943473, -105.1533073, 0.0, 1704.000, 1682.500, 0.0, 0.016000, 0.000000000
"neon", 38, 1592839693.322791722, 1592839693.000000000, 39.7943473, -105.1533073, 0.0, 1704.000, 1682.500, 0.0, 0.016000, 0.000000000
"neon", 39, 1592839694.318833991, 1592839694.000000000, 39.7943476, -105.1533070, 0.0, 1703.900, 1682.400, 0.0, 0.039000, 0.000000000
