NAM, NUM, FIX, SYS, SAT, CLK, TIM, LAT, LON, HAC, MSL, GEO, VAC, SOG, COG, ROL, PIT, YAW, RAC, PAC, YAC, OBS, MAC
"neon", 1, 3, 0, 0, 1600182100.242298359, 1600182100.000000000, 39.7942883, -105.1535070, 0., 0., 0., 0., 0.309000, 0., 0.00000, 68.91692, 0.00000, 20.00000, 33.54958, 180.00000, 0, 0.
"neon", 2, 3, 0, 5, 1600182101.261965065, 1600182101.000000000, 39.7942815, -105.1535088, 0., 1683.300, 1661.800, 0., 0.271000, 0., 0.00000, 68.91692, 0.00000, 20.00000, 33.55038, 180.00000, 0, 0.
"neon", 3, 3, 0, 5, 1600182102.240417983, 1600182101.000000000, 39.7942815, -105.1535088, 0., 1683.300, 1661.800, 0., 0.271000, 0., 0.00000, 68.91692, 0.00000, 20.00000, 33.55038, 180.00000, 0, 0.
"neon", 4, 3, 0, 5, 1600182103.249007708, 1600182102.000000000, 39.7942826, -105.1535076, 0., 1683.400, 1661.900, 0., 0.758000, 0., 0.00000, 68.91692, 0.00000, 20.00000, 33.55144, 83.71834, 0, 0.
"neon", 5, 3, 0, 5, 1600182104.234747484, 1600182103.000000000, 39.7942850, -105.1535085, 0., 1684.100, 1662.600, 0., 0.242000, 0., 0.00000, 68.91692, 0.00000, 20.00000, 33.55214, 83.75680, 0, 0.
"neon", 6, 3, 0, 5, 1600182105.255231238, 1600182104.000000000, 39.7942838, -105.1535061, 0., 1684.200, 1662.700, 0., 0.367000, 0., 0.00000, 68.91692, 0.00000, 20.00000, 33.55346, 83.82958, 0, 0.
"neon", 7, 3, 0, 5, 1600182106.237851521, 1600182105.000000000, 39.7942843, -105.1535035, 0., 1684.200, 1662.700, 0., 0.184000, 0., 0.00000, 68.91692, 0.00000, 20.00000, 33.55412, 83.86531, 0, 0.
"neon", 8, 3, 0, 5, 1600182107.257399715, 1600182106.000000000, 39.7942853, -105.1534995, 0., 1685.300, 1663.800, 0., 0.274000, 0., 0.00000, 9.78632, 133.12862, 20.00000, 26.10716, 16.58039, 0, 0.
"neon", 9, 3, 0, 5, 1600182108.238024469, 1600182107.000000000, 39.7942816, -105.1534885, 0., 1686.300, 1664.800, 0., 2.992000, 133.130000000, 0.00000, 4.96953, 137.94971, 20.00000, 20.41891, 12.71033, 0, 0.
"neon", 10, 3, 0, 5, 1600182109.256713872, 1600182109.000000000, 39.7942576, -105.1534533, 0., 1688.600, 1667.100, 0., 2.492000, 0., 0.00000, 9.62962, 137.94971, 20.00000, 37.17714, 13.54877, 0, 0.
"neon", 11, 3, 0, 5, 1600182110.237844156, 1600182109.000000000, 39.7942576, -105.1534533, 0., 1688.600, 1667.100, 0., 2.492000, 0., 0.00000, 9.62962, 137.94971, 20.00000, 37.17794, 13.84698, 0, 0.
"neon", 12, 3, 0, 5, 1600182111.260224892, 1600182111.000000000, 39.7942558, -105.1534496, 0., 1690.500, 1669.000, 0., 0.292000, 0., 0.00000, 9.62962, 137.94971, 20.00000, 37.17873, 14.13381, 0, 0.
"neon", 13, 3, 0, 5, 1600182112.240639096, 1600182112.000000000, 39.7942616, -105.1534451, 0., 1690.500, 1669.000, 0., 1.791000, 0., 0.00000, 20.38429, 137.94971, 20.00000, 35.63826, 14.44348, 0, 0.
"neon", 14, 3, 0, 5, 1600182113.257514305, 1600182112.000000000, 39.7942616, -105.1534451, 0., 1690.600, 1669.100, 0., 1.791000, 0., 0.00000, 20.38429, 137.94971, 20.00000, 35.63941, 14.82623, 0, 0.
"neon", 15, 3, 0, 5, 1600182114.241548402, 1600182113.000000000, 39.7942723, -105.1534435, 0., 1691.800, 1670.300, 0., 1.029000, 0., 0.00000, 22.66406, 137.94971, 20.00000, 38.99878, 15.16362, 0, 0.
