NAM, NUM, FIX, SYS, SAT, CLK, TIM, LAT, LON, HAC, MSL, GEO, VAC, SOG, COG, ROL, PIT, YAW, RAC, PAC, YAC, OBS, MAC
"neon", 1, 2, 0, 0, 1599145249.298388211, 1599145249.000000000, 39.7943071, -105.1533805, 0., 0., 0., 0., 0.005000, 0., 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 2, 3, 0, 11, 1599145249.632000060, 1599145249.000000000, 39.7943071, -105.1533805, 0., 1710.300, 1688.800, 0., 0.005000, 0., 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 3, 3, 0, 11, 1599145250.634033235, 1599145250.000000000, 39.7943060, -105.1533808, 0., 1709.900, 1688.400, 0., 0.036000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 4, 3, 0, 11, 1599145251.633729629, 1599145251.000000000, 39.7943043, -105.1533810, 0., 1709.600, 1688.100, 0., 0.027000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 5, 3, 0, 11, 1599145252.632412478, 1599145252.000000000, 39.7943033, -105.1533810, 0., 1709.300, 1687.800, 0., 0.009000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 6, 3, 0, 11, 1599145253.637120816, 1599145253.000000000, 39.7943025, -105.1533813, 0., 1709.100, 1687.600, 0., 0.017000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 7, 3, 0, 12, 1599145254.634022557, 1599145254.000000000, 39.7943020, -105.1533811, 0., 1708.900, 1687.400, 0., 0.027000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 8, 3, 0, 12, 1599145255.634786878, 1599145255.000000000, 39.7943020, -105.1533808, 0., 1708.700, 1687.200, 0., 0.019000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 9, 3, 0, 12, 1599145256.633885518, 1599145256.000000000, 39.7943030, -105.1533800, 0., 1708.500, 1687.000, 0., 0.035000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 10, 3, 0, 12, 1599145257.642581654, 1599145257.000000000, 39.7943038, -105.1533788, 0., 1708.300, 1686.800, 0., 0.020000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 11, 3, 0, 12, 1599145258.636117993, 1599145258.000000000, 39.7943046, -105.1533773, 0., 1708.000, 1686.500, 0., 0.011000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 12, 3, 0, 12, 1599145259.639241862, 1599145259.000000000, 39.7943055, -105.1533760, 0., 1707.800, 1686.300, 0., 0.046000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 13, 3, 0, 12, 1599145260.632399490, 1599145260.000000000, 39.7943063, -105.1533743, 0., 1707.500, 1686.000, 0., 0.014000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 14, 3, 0, 12, 1599145261.636790424, 1599145261.000000000, 39.7943078, -105.1533723, 0., 1707.200, 1685.700, 0., 0.027000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 15, 3, 0, 12, 1599145262.630240646, 1599145262.000000000, 39.7943091, -105.1533701, 0., 1706.900, 1685.400, 0., 0.031000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 16, 3, 0, 12, 1599145263.634873181, 1599145263.000000000, 39.7943101, -105.1533683, 0., 1706.600, 1685.100, 0., 0.018000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 17, 3, 0, 12, 1599145264.629939566, 1599145264.000000000, 39.7943120, -105.1533663, 0., 1706.300, 1684.800, 0., 0.093000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 18, 3, 0, 12, 1599145265.633202497, 1599145265.000000000, 39.7943135, -105.1533650, 0., 1705.900, 1684.400, 0., 0.056000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 19, 3, 0, 12, 1599145266.632358221, 1599145266.000000000, 39.7943145, -105.1533636, 0., 1705.700, 1684.200, 0., 0.006000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 20, 3, 0, 12, 1599145267.631726026, 1599145267.000000000, 39.7943161, -105.1533623, 0., 1705.400, 1683.900, 0., 0.070000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 21, 3, 0, 11, 1599145268.623260091, 1599145268.000000000, 39.7943175, -105.1533611, 0., 1705.200, 1683.700, 0., 0.028000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 22, 3, 0, 11, 1599145269.630403349, 1599145269.000000000, 39.7943181, -105.1533598, 0., 1705.100, 1683.600, 0., 0.033000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 23, 3, 0, 11, 1599145270.624531283, 1599145270.000000000, 39.7943188, -105.1533593, 0., 1705.000, 1683.500, 0., 0.046000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 24, 3, 0, 11, 1599145271.627188854, 1599145271.000000000, 39.7943198, -105.1533585, 0., 1704.900, 1683.400, 0., 0.008000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 25, 3, 0, 11, 1599145272.623370090, 1599145272.000000000, 39.7943196, -105.1533578, 0., 1704.900, 1683.400, 0., 0.077000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 26, 3, 0, 11, 1599145273.623306042, 1599145273.000000000, 39.7943190, -105.1533578, 0., 1704.800, 1683.300, 0., 0.028000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 27, 3, 0, 11, 1599145274.622450386, 1599145274.000000000, 39.7943190, -105.1533576, 0., 1704.700, 1683.200, 0., 0.044000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 28, 3, 0, 11, 1599145275.620092883, 1599145275.000000000, 39.7943190, -105.1533576, 0., 1704.600, 1683.100, 0., 0.034000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 29, 3, 0, 11, 1599145276.620615439, 1599145276.000000000, 39.7943181, -105.1533576, 0., 1704.500, 1683.000, 0., 0.056000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 30, 3, 0, 11, 1599145277.624995439, 1599145277.000000000, 39.7943173, -105.1533580, 0., 1704.400, 1682.900, 0., 0.026000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
"neon", 31, 3, 0, 11, 1599145278.620402967, 1599145278.000000000, 39.7943158, -105.1533585, 0., 1704.400, 1682.900, 0., 0.035000, 0., 0.00000, 80.97612, 228.72474, 20.00000, 84.00422, 48.41258, 0, 0.
