NAM, NUM, FIX, SYS, SAT, CLK, TIM, LAT, LON, HAC, MSL, GEO, VAC, SOG, COG, ROL, PIT, YAW, RAC, PAC, YAC, OBS, MAC
"neon", 26, 3, 1, 7, 1614187272.605496592, 1614187272.000000000, 39.7942450, -105.1532566, 0., 1719.600, 1698.800, 0., 0.000000, 265.980000000, 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 27, 3, 1, 7, 1614187273.612109437, 1614187273.000000000, 39.7942450, -105.1532566, 0., 1719.600, 1698.800, 0., 0.000000, 265.980000000, 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 28, 3, 1, 7, 1614187274.624238575, 1614187274.000000000, 39.7942450, -105.1532566, 0., 1719.600, 1698.800, 0., 0.000000, 265.980000000, 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 29, 3, 1, 7, 1614187275.605927060, 1614187275.000000000, 39.7942450, -105.1532566, 0., 1719.500, 1698.700, 0., 0.000000, 265.980000000, 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 30, 3, 1, 7, 1614187276.606582887, 1614187276.000000000, 39.7942450, -105.1532583, 0., 1719.500, 1698.700, 0., 0.000000, 265.980000000, 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 31, 3, 1, 7, 1614187277.626405294, 1614187277.000000000, 39.7942450, -105.1532583, 0., 1719.500, 1698.700, 0., 0.000000, 265.980000000, 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 32, 3, 1, 7, 1614187278.627058417, 1614187278.000000000, 39.7942450, -105.1532583, 0., 1719.500, 1698.700, 0., 0.000000, 265.980000000, 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 33, 3, 1, 7, 1614187279.628113060, 1614187279.000000000, 39.7942450, -105.1532583, 0., 1719.500, 1698.700, 0., 0.000000, 265.980000000, 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 34, 3, 1, 7, 1614187280.615025508, 1614187280.000000000, 39.7942450, -105.1532583, 0., 1719.500, 1698.700, 0., 0.000000, 265.980000000, 0., 0., 0., 0., 0., 0., 0, 0.
"neon", 35, 3, 1, 7, 1614187281.608830812, 1614187281.000000000, 39.7942450, -105.1532583, 0., 1719.500, 1698.700, 0., 0.000000, 265.980000000, 0., 0., 0., 0., 0., 0., 0, 0.
